Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2020,3,Capital Federal,107.675901165732,44.6227428971926
2020,3,Catamarca,47.157098984172,11.9952888012884
2020,3,Chaco,41.5419205780652,11.1027673619054
2020,3,Chubut,68.3438981572004,20.9487153048533
2020,3,Córdoba,75.2203572366921,23.0297083535099
2020,3,Corrientes,41.7507494704644,10.9936136166816
2020,3,Entre Ríos,58.1901640924315,17.3981108790514
2020,3,Formosa,31.9056233101865,8.12033722939222
2020,3,Jujuy,54.0444192382091,13.8200370336799
2020,3,La Pampa,79.2644770667028,26.115702018823
2020,3,La Rioja,50.1181132363027,13.3413120207716
2020,3,Mendoza,37.3486331372327,10.4223554880532
2020,3,Misiones,41.6044862854486,11.3317985370104
2020,3,Neuquén,65.2441702553022,19.4204592926977
2020,3,Río Negro,57.052405915845,17.54802558517
2020,3,Salta,52.315712128488,12.6702393071254
2020,3,San Juan,38.7899552541285,9.88083251128296
2020,3,San Luis,79.9617220941719,22.8839263803681
2020,3,Santa Cruz,35.9515289078445,10.6972070325265
2020,3,Santa Fe,72.1206024734824,22.6777105226816
2020,3,Santiago Del Estero,43.3759313169191,10.7648413009404
2020,3,Tierra Del Fuego,76.809095839467,22.7715153638102
2020,3,Tucumán,53.2281495112899,13.1849907035556
2020,2,Buenos Aires,65.2205801358229,21.5528584048363
2020,2,Capital Federal,106.414805990736,44.151826868205
2020,2,Catamarca,45.4318181818182,11.5566668352857
2020,2,Chaco,39.8325027900658,10.6461982789206
2020,2,Chubut,57.3446133872355,17.5779234120481
2020,2,Córdoba,72.7135853124239,22.2626297682841
2020,2,Corrientes,40.3047626797957,10.6131399504817
2020,2,Entre Ríos,56.5386547397096,16.9046496397221
2020,2,Formosa,31.1394362262631,7.92553974261672
2020,2,Jujuy,47.8878102278728,12.246000275261
2020,2,La Pampa,76.1015828898756,25.0738459648555
2020,2,La Rioja,49.8399350183955,13.2675488804432
2020,2,Mendoza,36.2522434211,10.1166524693736
2020,2,Misiones,40.8877960096961,11.1369196743518
2020,2,Neuquén,63.8984690337643,19.0205986637401
2020,2,Río Negro,56.369335248792,17.3384537515365
2020,2,Salta,51.5815833534036,12.4928228219153
2020,2,San Juan,35.0948577636503,8.93978645060613
2020,2,San Luis,78.4096773527651,22.4402866477222
2020,2,Santa Cruz,35.792623969796,10.6506751720812
2020,2,Santa Fe,70.002168637187,22.0118993487247
2020,2,Santiago Del Estero,43.4671668246836,10.7876486349067
2020,2,Tierra Del Fuego,76.3694826074247,22.6423924473359
2020,2,Tucumán,51.7807409103048,12.8267966617582
2020,1,Buenos Aires,64.3256310174343,21.2080810142128
2020,1,Capital Federal,105.980174141819,44.0240824345247
2020,1,Catamarca,37.6154276874603,9.56828644748246
2020,1,Chaco,37.4838333691726,10.0183580078063
2020,1,Chubut,51.268489419097,15.7151397399492
2020,1,Córdoba,70.6880744339108,21.6423266904036
2020,1,Corrientes,38.7290799422309,10.1981922972643
2020,1,Entre Ríos,56.1200605143722,16.7793875942568
2020,1,Formosa,30.2283039626068,7.69363320950793
2020,1,Jujuy,46.6702306399878,11.9345057136942
2020,1,La Pampa,75.766787812914,24.9634889459636
2020,1,La Rioja,46.346631384167,12.3374236886702
2020,1,Mendoza,33.1420767001727,9.24865632529103
2020,1,Misiones,39.018347551712,10.6276210559822
2020,1,Neuquén,61.8474936235507,18.4098728835989
2020,1,Río Negro,55.1156686596236,16.9526360543075
